default_probability,risk_band,credit_score,actual_default,gender
0.2458081919507833,Low,714,0,M
0.4738650714290209,Medium,589,0,F
0.7293333622743835,High,448,0,M
0.5105845460365955,Medium,569,0,F
0.515677014088601,Medium,566,0,F
0.6454971108357712,High,494,0,F
0.1622384502688925,Low,760,0,F
0.102537899911152,Low,793,0,F
0.8355732484965233,High,390,0,F
0.4813643728017612,Medium,585,1,F
0.3280082417724909,Low,669,0,F
0.4663522914551166,Medium,593,0,M
0.1901734858557032,Low,745,0,F
0.5552231697899556,Medium,544,0,F
0.3542511505912439,Low,655,0,M
0.3870354740031176,Medium,637,0,F
0.331658190137496,Low,667,0,F
0.3399492639834005,Low,663,0,F
0.3114968337970781,Low,678,0,M
0.2953043773086727,Low,687,0,F
0.2267189329513429,Low,725,0,F
0.2863779644037985,Low,692,0,F
0.3114112444525516,Low,678,0,F
0.2650900394088002,Low,704,0,M
0.3937668048601037,Medium,633,0,F
0.3345040807894613,Low,666,0,F
0.541832646901568,Medium,551,0,F
0.2673965923880366,Low,702,0,F
0.4073145050199424,Medium,625,0,M
0.3278788596871652,Low,669,0,M
0.1762281603494499,Low,753,0,F
0.3496052193879689,Low,657,0,F
0.6755460354160958,High,478,0,M
0.1309846927091089,Low,777,0,F
0.6038031083191299,Medium,517,0,F
0.2334839078913676,Low,721,0,F
0.7921706774028792,High,414,0,M
0.2447332048593641,Low,715,0,F
0.3530160842820454,Low,655,0,F
0.2688077052008172,Low,702,0,F
0.3588201525698411,Low,652,0,F
0.2388209295485381,Low,718,0,F
0.4089464828757629,Medium,625,0,M
0.27591524764319,Low,698,0,M
0.1589292862258819,Low,762,0,M
0.5077037829941112,Medium,570,0,M
0.3617024918910076,Low,651,0,F
0.3770300015582886,Low,642,0,F
0.4798406782734365,Medium,586,0,F
0.1199101367969925,Low,784,0,F
0.1309565371479564,Low,777,0,F
0.0726420698175607,Low,810,0,F
0.4925734786590799,Medium,579,0,F
0.2281658070708276,Low,724,0,M
0.6667605298445066,High,483,0,M
0.2998775192704227,Low,685,0,F
0.446533234766564,Medium,604,0,F
0.2599259076813975,Low,707,0,F
0.1678042013177056,Low,757,0,F
0.3243937306756426,Low,671,0,M
0.7497779925830896,High,437,0,F
0.246114005798513,Low,714,0,F
0.157016981667856,Low,763,0,F
0.6318036289100966,Medium,502,1,F
0.2010191726365751,Low,739,0,F
0.6384490947167435,Medium,498,1,M
0.6187843989350987,Medium,509,0,F
0.2724153321754101,Low,700,0,F
0.1868157404533603,Low,747,0,M
