default_probability,risk_band,credit_score,actual_default
0.24580819195078338,Low,714,0
0.47386507142902096,Medium,589,0
0.7293333622743835,High,448,0
0.5105845460365955,Medium,569,0
0.515677014088601,Medium,566,0
0.6454971108357712,High,494,0
0.16223845026889253,Low,760,0
0.102537899911152,Low,793,0
0.8355732484965233,High,390,0
0.48136437280176125,Medium,585,1
0.3280082417724909,Low,669,0
0.4663522914551166,Medium,593,0
0.19017348585570323,Low,745,0
0.5552231697899556,Medium,544,0
0.3542511505912439,Low,655,0
0.3870354740031176,Medium,637,0
0.33165819013749603,Low,667,0
0.33994926398340053,Low,663,0
0.3114968337970781,Low,678,0
0.2953043773086727,Low,687,0
0.22671893295134293,Low,725,0
0.2863779644037985,Low,692,0
0.3114112444525516,Low,678,0
0.26509003940880027,Low,704,0
0.3937668048601037,Medium,633,0
0.33450408078946137,Low,666,0
0.541832646901568,Medium,551,0
0.26739659238803665,Low,702,0
0.40731450501994243,Medium,625,0
0.32787885968716524,Low,669,0
0.1762281603494499,Low,753,0
0.34960521938796896,Low,657,0
0.6755460354160958,High,478,0
0.13098469270910895,Low,777,0
0.6038031083191299,Medium,517,0
0.23348390789136764,Low,721,0
0.7921706774028792,High,414,0
0.24473320485936415,Low,715,0
0.35301608428204545,Low,655,0
0.26880770520081726,Low,702,0
0.3588201525698411,Low,652,0
0.2388209295485381,Low,718,0
0.4089464828757629,Medium,625,0
0.27591524764319,Low,698,0
0.1589292862258819,Low,762,0
0.5077037829941112,Medium,570,0
0.36170249189100767,Low,651,0
0.3770300015582886,Low,642,0
0.4798406782734365,Medium,586,0
0.11991013679699257,Low,784,0
0.1309565371479564,Low,777,0
0.07264206981756074,Low,810,0
0.4925734786590799,Medium,579,0
0.22816580707082765,Low,724,0
0.6667605298445066,High,483,0
0.2998775192704227,Low,685,0
0.446533234766564,Medium,604,0
0.2599259076813975,Low,707,0
0.1678042013177056,Low,757,0
0.3243937306756426,Low,671,0
0.7497779925830896,High,437,0
0.24611400579851306,Low,714,0
0.15701698166785602,Low,763,0
0.6318036289100966,Medium,502,1
0.2010191726365751,Low,739,0
0.6384490947167435,Medium,498,1
0.6187843989350987,Medium,509,0
0.27241533217541014,Low,700,0
0.18681574045336038,Low,747,0
0.36866106976459334,Low,647,0
0.8271831387730496,High,395,1
0.2907563827545454,Low,690,0
0.6978535944924953,High,466,0
0.5737839630111189,Medium,534,0
0.32608657324696966,Low,670,0
0.44651272103438394,Medium,604,0
0.7170129062135705,High,455,0
0.3121057095046199,Low,678,0
0.41617142220595105,Medium,621,0
0.669192084885845,High,481,0
0.4874172093021126,Medium,581,0
0.45316286478685,Medium,600,0
0.28322149038214345,Low,694,0
0.7770776353872568,High,422,0
0.5489423734190952,Medium,548,0
0.8896468061070202,High,360,0
0.5175371761268567,Medium,565,0
0.34832127904691773,Low,658,0
0.3100497801765041,Low,679,0
0.4646818249426495,Medium,594,0
0.31824292751706673,Low,674,0
0.17590628599161315,Low,753,0
0.7299056824758021,High,448,0
0.27473811330355935,Low,698,0
0.09513223610699713,Low,797,0
0.552281035106826,Medium,546,0
0.6952399287324945,High,467,0
0.17509712229599045,Low,753,0
0.6578479743580219,High,488,0
0.7536487765212646,High,435,1
0.7574135318596619,High,433,1
0.34987429887881527,Low,657,0
0.1611559333790752,Low,761,0
0.3863945026235928,Medium,637,0
0.5382021779900333,Medium,553,0
0.4099089708758619,Medium,624,0
0.3311631976479939,Low,667,0
0.19633771319305382,Low,742,0
0.38179802512753785,Low,640,0
0.3734091938418907,Low,644,0
0.8450593955381397,High,385,0
0.2725741431722914,Low,700,0
0.517207067405844,Medium,565,0
0.5329620526921234,Medium,556,0
0.6422900857939253,High,496,0
0.362769693799618,Low,650,0
0.2543115903736091,Low,710,0
0.31071066533065494,Low,679,0
0.5243404455518024,Medium,561,0
0.33138127102008497,Low,667,0
0.09432503254391478,Low,798,0
0.8114194177066271,High,403,0
0.1594403516850262,Low,762,0
0.44281319468355473,Medium,606,0
0.36714414789869926,Low,648,1
0.6051368393497111,Medium,517,0
0.1785925186602569,Low,751,0
0.526831378928903,Medium,560,0
0.39360078129283355,Medium,633,0
0.49212759229037034,Medium,579,0
0.6854886432556236,High,472,0
0.44744401139456624,Medium,603,0
0.20646009260302095,Low,736,0
0.17506243860365853,Low,753,0
0.7872201482354851,High,417,0
0.17611986680524225,Low,753,0
0.5261543025988242,Medium,560,0
0.21632394966462543,Low,731,0
0.3781814005474985,Low,642,1
0.22303560425850238,Low,727,0
0.22877261815127553,Low,724,0
0.4180694313735365,Medium,620,0
0.15704795150363607,Low,763,0
0.25636249805534767,Low,709,0
0.3331036229557555,Low,666,0
0.24943872968743358,Low,712,0
0.20302187278651934,Low,738,0
0.29321399408924964,Low,688,0
0.5549697660240087,Medium,544,0
0.6621532878334253,High,485,1
0.5106318815159077,Medium,569,0
0.4967380033834218,Medium,576,0
0.7825186535599441,High,419,0
0.29825555288408057,Low,685,0
0.27357426439528826,Low,699,0
0.24897890785055105,Low,713,0
0.20036381640999854,Low,739,0
0.5764786409806597,Medium,532,0
0.6161070889417644,Medium,511,0
0.29486833206356544,Low,687,0
0.5115028837110212,Medium,568,0
0.1837728447234271,Low,748,0
0.063929767421858,Low,814,0
0.6206528252203274,Medium,508,0
0.49228475346789774,Medium,579,0
0.16809900840825642,Low,757,0
0.293528493401922,Low,688,0
0.39403523158766146,Medium,633,0
0.20701378848583207,Low,736,0
0.7094825593760764,High,459,0
0.6144347377941806,Medium,512,0
0.7013722439634738,High,464,0
0.3560124196727621,Low,654,0
0.4072432837210754,Medium,626,0
0.5782343216224006,Medium,531,0
0.26840208198590215,Low,702,0
0.41877658890918146,Medium,619,0
0.6648010810539885,High,484,0
0.16172454058888613,Low,761,0
0.30070079772843344,Low,684,0
0.23341086293050056,Low,721,0
0.5033870201231831,Medium,573,0
0.5264341573068355,Medium,560,0
0.3826763326600163,Medium,639,0
0.7466529793271773,High,439,0
0.2509873841683641,Low,711,0
0.12941037687945425,Low,778,1
0.6538468427994043,High,490,0
0.5600439843368289,Medium,541,0
0.6437776881609866,High,495,1
0.49077646531174707,Medium,580,0
0.37520250368145025,Low,643,0
0.320766891211911,Low,673,0
